date,open,high,low,close,volume,name,year,month,daily_return,trend,price_change
2016-11-23,94.23,97.67,94.23,97.35,2451183.0,URI,2016,Nov,0.007909604519774117,Profit,3.1199999999999903
2014-03-21,20.2,20.81,20.12,20.17,25859760.0,AMAT,2014,Mar,-0.0034705007436787445,Loss,-0.029999999999997584
2016-09-20,63.36,63.55,62.76,63.28,4826460.0,ABBV,2016,Sep,0.012958280657395594,Loss,-0.0799999999999983
2015-10-15,324.45,327.2599,320.59,325.63,737395.0,BLK,2015,Oct,0.0159690446211958,Profit,1.1800000000000068
2017-04-27,68.17,68.76,68.05,68.58,6734653.0,GILD,2017,Apr,-0.0004374453193350997,Profit,0.4099999999999966
2016-02-02,39.32,39.375,38.92,39.22,3132041.0,HIG,2016,Feb,-0.007139214686384527,Loss,-0.10000000000000142
2013-11-18,14.82,14.86,14.72,14.75,2461725.0,PBCT,2013,Nov,0.0006779661016949008,Loss,-0.07000000000000028
2017-12-26,60.13,60.53,60.05,60.18,1156977.0,VTR,2017,Dec,-0.000664672648720491,Profit,0.04999999999999716
2013-10-22,58.5,58.98,58.26,58.69,4855500.0,WBA,2013,Oct,0.0017038677798603072,Profit,0.18999999999999773
2014-04-14,35.54,35.65,34.83,35.15,1971672.0,PWR,2014,Apr,0.004836415362731201,Loss,-0.39000000000000057
2015-02-19,198.56,201.74,197.97,201.71,1776085.0,LMT,2015,Feb,0.01130335630360419,Profit,3.1500000000000057
2015-10-23,168.24,171.9995,165.535,171.16,1689552.0,ALXN,2015,Oct,-0.006718859546623076,Profit,2.9199999999999875
2015-08-21,35.44,35.8,35.31,35.56,5222552.0,CMS,2015,Aug,-0.03908886389201351,Profit,0.12000000000000455
2016-03-07,160.5,161.44,158.51,159.15,1048194.0,WHR,2016,Mar,-0.0037700282752120284,Loss,-1.3499999999999943
2017-03-30,126.19,127.45,126.18,126.98,451822.0,CTAS,2017,Mar,-0.0034651126161600074,Profit,0.7900000000000063
2016-09-20,78.71,78.99,77.47,77.54,2835725.0,LYB,2016,Sep,0.007737941707505729,Loss,-1.1699999999999875
2016-07-06,35.57,36.27,35.43,36.24,3094261.0,NBL,2016,Jul,-0.003035320088300205,Profit,0.6700000000000017
2014-05-19,47.97,48.98,47.93,48.71,1440552.0,FAST,2014,May,-0.018681995483473695,Profit,0.740000000000002
2013-06-07,56.81,57.55,56.4,57.16,1252361.0,CHRW,2013,Jun,-0.006123163051084576,Profit,0.3499999999999943
2017-10-06,142.07,142.38,141.5,141.96,1190414.0,PX,2017,Oct,-0.007678219216680778,Loss,-0.10999999999998522
2016-10-31,44.76,44.8,43.25,43.45,11283985.0,COP,2016,Oct,0.0020713463751437585,Loss,-1.3099999999999952
2014-10-08,56.7,57.36,56.45,57.22,2138766.0,DLTR,2014,Oct,-0.009087731562390703,Profit,0.519999999999996
2016-09-07,95.98,95.98,94.9,95.5,743853.0,MAA,2016,Sep,-0.0053403141361257084,Loss,-0.480000000000004
2013-05-30,58.82,59.62,58.82,59.33,2261062.0,INTU,2013,May,-0.015000842743974391,Profit,0.509999999999998
2016-10-21,68.3,68.59,68.0,68.36,920506.0,VTR,2016,Oct,0.007314218841427736,Profit,0.060000000000002274
2017-01-12,31.0,31.07,30.1,30.59,3285652.0,GT,2017,Jan,0.004903563255965956,Loss,-0.41000000000000014
2015-12-31,151.73,152.12,150.63,150.64,1607102.0,MMM,2015,Dec,-0.025358470525756727,Loss,-1.0900000000000034
2013-11-14,27.89,28.19,27.68,27.94,10551939.0,DAL,2013,Nov,0.006442376521116668,Profit,0.05000000000000071
2016-09-09,727.64,728.67,722.16,722.44,400512.0,AZO,2016,Sep,0.02483251204252248,Loss,-5.199999999999932
2016-02-02,78.47,78.47,76.7,77.67,787347.0,MAC,2016,Feb,0.008497489378138233,Loss,-0.7999999999999972
2016-03-07,83.68,87.37,83.0,85.63,2104748.0,ANDV,2016,Mar,-0.01903538479504841,Profit,1.9499999999999886
2014-03-13,58.77,58.92,57.21,57.46,1135069.0,FISV,2014,Mar,-0.003828750435085257,Loss,-1.3100000000000023
2013-06-12,89.8,90.17,88.22,88.32,1061240.0,CB,2013,Jun,0.016530797101449366,Loss,-1.480000000000004
2018-02-05,43.73,44.11,41.69,41.78,3494878.0,CBG,2018,Feb,0.017951172809956915,Loss,-1.9499999999999957
2013-05-16,51.01,53.0,51.01,51.76,4418143.0,STZ,2013,May,0.008693972179289081,Profit,0.75
2017-09-29,81.56,82.3,81.41,81.64,1614086.0,TAP,2017,Sep,0.004654581087702051,Profit,0.0799999999999983
2017-05-02,86.71,86.88,86.02,86.5,14414164.0,JPM,2017,May,0.005780346820809248,Loss,-0.20999999999999375
